temporada,division,fecha,hora,local,visitante,goles_local,goles_visitante,resultado,quiniela
2024-2025,Segunda,2025-02-03,19:30,Levante,Ferrol,0,1,Visitante,2
2024-2025,Segunda,2025-02-07,19:30,2lbacete,Zaragoza,2,1,Local,1
2024-2025,Segunda,2025-02-08,13:00,Ferrol,Castellon,1,3,Visitante,2
2024-2025,Segunda,2025-02-08,15:15,Granada,Mirandes,0,0,Empate,X
2024-2025,Segunda,2025-02-08,17:30,Malaga,Levante,1,1,Empate,X
2024-2025,Segunda,2025-02-08,17:30,Sp Gijon,Eibar,0,0,Empate,X
2024-2025,Segunda,2025-02-09,13:00,Elche,Tenerife,2,0,Local,1
2024-2025,Segunda,2025-02-09,15:15,Burgos,Santander,2,1,Local,1
2024-2025,Segunda,2025-02-09,15:15,Cordoba,1uesca,1,2,Visitante,2
2024-2025,Segunda,2025-02-09,17:30,Cadiz,Cartagena,5,2,Local,1
2024-2025,Segunda,2025-02-09,17:30,La Coruna,2lmeria,3,1,Local,1
2024-2025,Segunda,2025-02-10,19:30,Oviedo,Eldense,0,0,Empate,X
2024-2025,Segunda,2025-02-14,19:30,Mirandes,Ferrol,4,1,Local,1
2024-2025,Segunda,2025-02-15,13:00,Castellon,Eibar,2,0,Local,1
2024-2025,Segunda,2025-02-15,15:15,Cartagena,Malaga,0,1,Visitante,2
2024-2025,Segunda,2025-02-15,17:30,Santander,Cadiz,2,3,Visitante,2
2024-2025,Segunda,2025-02-15,20:00,Tenerife,Cordoba,2,3,Visitante,2
2024-2025,Segunda,2025-02-16,13:00,Levante,Sp Gijon,0,0,Empate,X
2024-2025,Segunda,2025-02-16,15:15,Eldense,La Coruna,2,0,Local,1
2024-2025,Segunda,2025-02-16,15:15,1uesca,Granada,1,1,Empate,X
2024-2025,Segunda,2025-02-16,17:30,Zaragoza,Burgos,0,1,Visitante,2
2024-2025,Segunda,2025-02-16,20:00,Oviedo,2lbacete,1,0,Local,1
2024-2025,Segunda,2025-02-17,19:30,2lmeria,Elche,1,1,Empate,X
2024-2025,Segunda,2025-02-21,19:30,Malaga,Tenerife,1,0,Local,1
2024-2025,Segunda,2025-02-22,13:00,Ferrol,Cordoba,0,1,Visitante,2
2024-2025,Segunda,2025-02-22,15:15,Burgos,Oviedo,1,2,Visitante,2
2024-2025,Segunda,2025-02-22,15:15,Eibar,Santander,2,2,Empate,X
2024-2025,Segunda,2025-02-22,17:30,Granada,Zaragoza,2,2,Empate,X
2024-2025,Segunda,2025-02-22,20:00,Sp Gijon,2lmeria,1,1,Empate,X
2024-2025,Segunda,2025-02-23,13:00,La Coruna,1uesca,0,0,Empate,X
2024-2025,Segunda,2025-02-23,15:15,Elche,Cartagena,2,1,Local,1
2024-2025,Segunda,2025-02-23,17:30,2lbacete,Eldense,0,1,Visitante,2
2024-2025,Segunda,2025-02-23,17:30,Levante,Mirandes,1,0,Local,1
2024-2025,Segunda,2025-02-23,20:00,Cadiz,Castellon,0,0,Empate,X
2024-2025,Segunda,2025-02-28,19:30,Cartagena,Eibar,0,2,Visitante,2
2024-2025,Segunda,2025-03-01,15:15,Castellon,Burgos,2,1,Local,1
2024-2025,Segunda,2025-03-01,15:15,1uesca,Ferrol,3,1,Local,1
2024-2025,Segunda,2025-03-01,17:30,Zaragoza,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2025-03-01,20:00,2lmeria,Malaga,2,2,Empate,X
2024-2025,Segunda,2025-03-02,13:00,Cordoba,Granada,5,0,Local,1
2024-2025,Segunda,2025-03-02,15:15,Oviedo,La Coruna,1,2,Visitante,2
2024-2025,Segunda,2025-03-02,17:30,2lbacete,Cadiz,3,0,Local,1
2024-2025,Segunda,2025-03-02,17:30,Eldense,Levante,1,2,Visitante,2
2024-2025,Segunda,2025-03-02,20:00,Santander,Elche,2,0,Local,1
2024-2025,Segunda,2025-03-03,19:30,Mirandes,Tenerife,2,0,Local,1
2024-2025,Segunda,2025-03-05,19:00,Ferrol,Burgos,0,1,Visitante,2
2024-2025,Segunda,2025-03-07,18:00,Eibar,2lmeria,1,0,Local,1
2024-2025,Segunda,2025-03-07,20:00,La Coruna,Cordoba,1,1,Empate,X
2024-2025,Segunda,2025-03-08,15:15,Mirandes,Oviedo,1,0,Local,1
2024-2025,Segunda,2025-03-08,17:30,Elche,Castellon,3,1,Local,1
2024-2025,Segunda,2025-03-08,17:30,Sp Gijon,Santander,1,1,Empate,X
2024-2025,Segunda,2025-03-08,20:00,Zaragoza,Eldense,2,4,Visitante,2
2024-2025,Segunda,2025-03-09,13:00,Tenerife,1uesca,2,0,Local,1
2024-2025,Segunda,2025-03-09,15:15,Malaga,Cadiz,0,2,Visitante,2
2024-2025,Segunda,2025-03-09,17:30,Levante,Cartagena,3,0,Local,1
2024-2025,Segunda,2025-03-09,20:00,Granada,Ferrol,3,0,Local,1
2024-2025,Segunda,2025-03-10,19:30,Burgos,2lbacete,1,0,Local,1
2024-2025,Segunda,2025-03-14,19:30,Oviedo,Elche,1,1,Empate,X
2024-2025,Segunda,2025-03-15,13:00,Ferrol,Eibar,0,0,Empate,X
2024-2025,Segunda,2025-03-15,15:15,2lbacete,Malaga,2,0,Local,1
2024-2025,Segunda,2025-03-15,15:15,Cartagena,Burgos,0,1,Visitante,2
2024-2025,Segunda,2025-03-15,17:30,2lmeria,Zaragoza,4,1,Local,1
2024-2025,Segunda,2025-03-15,20:00,Cordoba,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2025-03-16,13:00,Eldense,Mirandes,2,2,Empate,X
2024-2025,Segunda,2025-03-16,15:15,1uesca,Levante,1,2,Visitante,2
2024-2025,Segunda,2025-03-16,15:15,Santander,Tenerife,2,1,Local,1
2024-2025,Segunda,2025-03-16,17:30,Cadiz,Granada,1,0,Local,1
2024-2025,Segunda,2025-03-17,19:30,Castellon,La Coruna,2,2,Empate,X
2024-2025,Segunda,2025-03-21,19:30,Burgos,2lmeria,3,1,Local,1
2024-2025,Segunda,2025-03-22,15:15,Elche,Eldense,2,0,Local,1
2024-2025,Segunda,2025-03-22,17:30,Malaga,Ferrol,2,0,Local,1
2024-2025,Segunda,2025-03-22,17:30,Mirandes,Santander,2,1,Local,1
2024-2025,Segunda,2025-03-22,20:00,Granada,Oviedo,1,0,Local,1
2024-2025,Segunda,2025-03-23,13:00,Levante,Castellon,3,2,Local,1
2024-2025,Segunda,2025-03-23,15:15,Eibar,1uesca,2,1,Local,1
2024-2025,Segunda,2025-03-23,15:15,Sp Gijon,2lbacete,0,2,Visitante,2
2024-2025,Segunda,2025-03-23,17:30,La Coruna,Cartagena,2,2,Empate,X
2024-2025,Segunda,2025-03-23,17:30,Tenerife,Cadiz,2,1,Local,1
2024-2025,Segunda,2025-03-24,19:30,Zaragoza,Cordoba,1,1,Empate,X
2024-2025,Segunda,2025-03-28,19:30,Tenerife,Granada,2,1,Local,1
2024-2025,Segunda,2025-03-29,13:00,Eldense,Burgos,0,0,Empate,X
2024-2025,Segunda,2025-03-29,15:15,Ferrol,La Coruna,0,1,Visitante,2
2024-2025,Segunda,2025-03-29,17:30,Cartagena,Castellon,2,2,Empate,X
2024-2025,Segunda,2025-03-29,17:30,Santander,Zaragoza,2,0,Local,1
2024-2025,Segunda,2025-03-29,20:00,2lmeria,Levante,1,0,Local,1
2024-2025,Segunda,2025-03-30,13:00,Cordoba,Elche,1,2,Visitante,2
2024-2025,Segunda,2025-03-30,15:15,Oviedo,Malaga,2,1,Local,1
2024-2025,Segunda,2025-03-30,17:30,2lbacete,Mirandes,3,2,Local,1
2024-2025,Segunda,2025-03-30,17:30,1uesca,Sp Gijon,3,2,Local,1
2024-2025,Segunda,2025-03-31,19:30,Cadiz,Eibar,0,0,Empate,X
2024-2025,Segunda,2025-04-04,19:30,Castellon,2lbacete,2,2,Empate,X
2024-2025,Segunda,2025-04-05,15:15,Eibar,Oviedo,1,1,Empate,X
2024-2025,Segunda,2025-04-05,17:30,Cartagena,Eldense,0,1,Visitante,2
2024-2025,Segunda,2025-04-05,17:30,Granada,2lmeria,3,1,Local,1
2024-2025,Segunda,2025-04-05,20:00,Sp Gijon,Tenerife,1,3,Visitante,2
2024-2025,Segunda,2025-04-06,13:00,Zaragoza,Mirandes,1,0,Local,1
2024-2025,Segunda,2025-04-06,15:15,Levante,Santander,3,1,Local,1
2024-2025,Segunda,2025-04-06,17:30,Burgos,1uesca,2,1,Local,1
2024-2025,Segunda,2025-04-06,17:30,Malaga,Cordoba,0,1,Visitante,2
2024-2025,Segunda,2025-04-06,20:00,La Coruna,Cadiz,1,0,Local,1
2024-2025,Segunda,2025-04-07,19:30,Elche,Ferrol,1,0,Local,1
2024-2025,Segunda,2025-04-11,19:30,Cordoba,Levante,2,2,Empate,X
2024-2025,Segunda,2025-04-12,15:15,Zaragoza,Eibar,2,2,Empate,X
2024-2025,Segunda,2025-04-12,17:30,Cadiz,Elche,0,1,Visitante,2
2024-2025,Segunda,2025-04-12,17:30,Tenerife,Burgos,0,0,Empate,X
2024-2025,Segunda,2025-04-12,20:00,Oviedo,Ferrol,3,0,Local,1
2024-2025,Segunda,2025-04-13,13:00,2lbacete,Granada,0,2,Visitante,2
2024-2025,Segunda,2025-04-13,15:15,Santander,Castellon,1,1,Empate,X
2024-2025,Segunda,2025-04-13,17:30,Eldense,Sp Gijon,1,2,Visitante,2
2024-2025,Segunda,2025-04-13,17:30,Mirandes,La Coruna,2,2,Empate,X
2024-2025,Segunda,2025-04-13,20:00,2lmeria,Cartagena,2,1,Local,1
2024-2025,Segunda,2025-04-14,19:30,1uesca,Malaga,1,0,Local,1
2024-2025,Segunda,2025-04-18,18:00,Sp Gijon,Mirandes,3,1,Local,1
2024-2025,Segunda,2025-04-18,20:00,Castellon,2lmeria,4,1,Local,1
2024-2025,Segunda,2025-04-19,13:00,Ferrol,Eldense,1,0,Local,1
2024-2025,Segunda,2025-04-19,15:15,1uesca,Santander,1,3,Visitante,2
2024-2025,Segunda,2025-04-19,17:30,Levante,Zaragoza,5,2,Local,1
2024-2025,Segunda,2025-04-19,20:00,Burgos,Cadiz,2,2,Empate,X
2024-2025,Segunda,2025-04-20,13:00,Cartagena,Granada,2,3,Visitante,2
2024-2025,Segunda,2025-04-20,15:15,Cordoba,Oviedo,0,0,Empate,X
2024-2025,Segunda,2025-04-20,17:30,Elche,2lbacete,2,2,Empate,X
2024-2025,Segunda,2025-04-20,20:00,La Coruna,Tenerife,0,0,Empate,X
2024-2025,Segunda,2025-04-21,19:30,Eibar,Malaga,2,2,Empate,X
2024-2025,Segunda,2025-04-25,19:30,Cadiz,Sp Gijon,1,0,Local,1
2024-2025,Segunda,2025-04-26,13:00,2lbacete,Cartagena,3,1,Local,1
2024-2025,Segunda,2025-04-26,15:15,Eldense,Cordoba,1,1,Empate,X
2024-2025,Segunda,2025-04-26,15:15,Oviedo,Levante,1,0,Local,1
2024-2025,Segunda,2025-04-26,17:30,Granada,Elche,1,1,Empate,X
2024-2025,Segunda,2025-04-26,17:30,Mirandes,Burgos,2,1,Local,1
2024-2025,Segunda,2025-04-27,15:15,Santander,La Coruna,2,1,Local,1
2024-2025,Segunda,2025-04-27,17:30,Malaga,Castellon,1,0,Local,1
2024-2025,Segunda,2025-04-27,17:30,Tenerife,Eibar,1,1,Empate,X
2024-2025,Segunda,2025-04-27,20:00,Zaragoza,1uesca,1,1,Empate,X
2024-2025,Segunda,2025-04-29,19:30,2lmeria,Ferrol,2,1,Local,1
2024-2025,Segunda,2025-05-02,19:30,Cordoba,Cadiz,4,2,Local,1
2024-2025,Segunda,2025-05-03,15:15,1uesca,Oviedo,1,2,Visitante,2
2024-2025,Segunda,2025-05-03,17:30,Eibar,Mirandes,0,1,Visitante,2
2024-2025,Segunda,2025-05-03,17:30,Malaga,Granada,1,0,Local,1
2024-2025,Segunda,2025-05-03,20:00,Burgos,Elche,0,1,Visitante,2
2024-2025,Segunda,2025-05-04,13:00,Levante,Tenerife,1,1,Empate,X
2024-2025,Segunda,2025-05-04,15:15,Ferrol,Zaragoza,1,2,Visitante,2
2024-2025,Segunda,2025-05-04,17:30,2lmeria,Eldense,5,0,Local,1
2024-2025,Segunda,2025-05-04,17:30,Cartagena,Santander,1,0,Local,1
2024-2025,Segunda,2025-05-04,20:00,La Coruna,2lbacete,5,1,Local,1
2024-2025,Segunda,2025-05-05,19:30,Castellon,Sp Gijon,4,3,Local,1
2024-2025,Segunda,2025-05-09,19:30,Cadiz,2lmeria,2,1,Local,1
2024-2025,Segunda,2025-05-10,15:15,Mirandes,Castellon,3,2,Local,1
2024-2025,Segunda,2025-05-10,15:15,Sp Gijon,La Coruna,2,1,Local,1
2024-2025,Segunda,2025-05-10,17:30,Burgos,Cordoba,3,2,Local,1
2024-2025,Segunda,2025-05-10,17:30,Elche,Levante,1,3,Visitante,2
2024-2025,Segunda,2025-05-10,20:00,Zaragoza,Cartagena,3,2,Local,1
2024-2025,Segunda,2025-05-11,13:00,Santander,Oviedo,1,1,Empate,X
2024-2025,Segunda,2025-05-11,17:30,2lbacete,1uesca,3,2,Local,1
2024-2025,Segunda,2025-05-11,17:30,Eldense,Malaga,1,0,Local,1
2024-2025,Segunda,2025-05-11,20:00,Tenerife,Ferrol,0,0,Empate,X
2024-2025,Segunda,2025-05-12,19:30,Granada,Eibar,0,2,Visitante,2
2024-2025,Segunda,2025-05-16,19:30,Levante,2lbacete,1,0,Local,1
2024-2025,Segunda,2025-05-17,15:15,Eibar,Burgos,1,0,Local,1
2024-2025,Segunda,2025-05-17,15:15,La Coruna,Granada,2,3,Visitante,2
2024-2025,Segunda,2025-05-17,17:30,Cartagena,Tenerife,1,0,Local,1
2024-2025,Segunda,2025-05-17,17:30,1uesca,Elche,2,1,Local,1
2024-2025,Segunda,2025-05-17,20:00,Malaga,Sp Gijon,2,1,Local,1
2024-2025,Segunda,2025-05-18,13:00,Ferrol,Cadiz,1,0,Local,1
2024-2025,Segunda,2025-05-18,15:15,Castellon,Eldense,1,1,Empate,X
2024-2025,Segunda,2025-05-18,15:15,Oviedo,Zaragoza,1,0,Local,1
2024-2025,Segunda,2025-05-18,20:00,2lmeria,Santander,2,0,Local,1
2024-2025,Segunda,2025-05-19,19:30,Cordoba,Mirandes,1,2,Visitante,2
2024-2025,Segunda,2025-05-24,17:30,2lbacete,Ferrol,2,0,Local,1
2024-2025,Segunda,2025-05-25,17:30,Burgos,Levante,2,3,Visitante,2
2024-2025,Segunda,2025-05-25,17:30,Cadiz,1uesca,4,0,Local,1
2024-2025,Segunda,2025-05-25,17:30,Eibar,Cordoba,4,1,Local,1
2024-2025,Segunda,2025-05-25,17:30,Elche,Malaga,2,0,Local,1
2024-2025,Segunda,2025-05-25,17:30,Eldense,Santander,3,3,Empate,X
2024-2025,Segunda,2025-05-25,17:30,Granada,Castellon,2,1,Local,1
2024-2025,Segunda,2025-05-25,17:30,Mirandes,2lmeria,0,0,Empate,X
2024-2025,Segunda,2025-05-25,17:30,Sp Gijon,Cartagena,3,2,Local,1
2024-2025,Segunda,2025-05-25,17:30,Tenerife,Oviedo,0,1,Visitante,2
2024-2025,Segunda,2025-05-25,17:30,Zaragoza,La Coruna,1,0,Local,1
2024-2025,Segunda,2025-05-30,19:30,Castellon,Zaragoza,4,1,Local,1
2024-2025,Segunda,2025-05-31,15:15,Ferrol,Sp Gijon,0,2,Visitante,2
2024-2025,Segunda,2025-05-31,17:30,Malaga,Burgos,2,2,Empate,X
2024-2025,Segunda,2025-06-01,17:30,2lmeria,Tenerife,2,0,Local,1
2024-2025,Segunda,2025-06-01,17:30,Cartagena,Mirandes,1,3,Visitante,2
2024-2025,Segunda,2025-06-01,17:30,1uesca,Eldense,3,2,Local,1
2024-2025,Segunda,2025-06-01,17:30,La Coruna,Elche,0,4,Visitante,2
2024-2025,Segunda,2025-06-01,17:30,Levante,Eibar,1,0,Local,1
2024-2025,Segunda,2025-06-01,17:30,Oviedo,Cadiz,2,1,Local,1
2024-2025,Segunda,2025-06-01,17:30,Santander,Granada,2,1,Local,1
2024-2025,Segunda,2025-06-01,20:00,Cordoba,2lbacete,1,1,Empate,X
2025-2026,Primera,2025-08-15,18:00,Girona,Vallecano,1,3,Visitante,2
2025-2026,Primera,2025-08-15,20:30,Villarreal,Oviedo,2,0,Local,1
2025-2026,Primera,2025-08-16,18:30,Mallorca,Barcelona,0,3,Visitante,2
2025-2026,Primera,2025-08-16,20:30,Alaves,Levante,2,1,Local,1
2025-2026,Primera,2025-08-16,20:30,Valencia,Sociedad,1,1,Empate,X
2025-2026,Primera,2025-08-17,16:00,Celta,Getafe,0,2,Visitante,2
2025-2026,Primera,2025-08-17,18:30,Ath Bilbao,Sevilla,3,2,Local,1
2025-2026,Primera,2025-08-17,20:30,Espanol,Ath Madrid,2,1,Local,1
2025-2026,Primera,2025-08-18,20:00,Elche,Betis,1,1,Empate,X
2025-2026,Primera,2025-08-19,20:00,Real Madrid,Osasuna,1,0,Local,1
2025-2026,Primera,2025-08-22,20:30,Betis,Alaves,1,0,Local,1
2025-2026,Primera,2025-08-23,16:00,Mallorca,Celta,1,1,Empate,X
2025-2026,Primera,2025-08-23,18:30,Ath Madrid,Elche,1,1,Empate,X
2025-2026,Primera,2025-08-23,20:30,Levante,Barcelona,2,3,Visitante,2
2025-2026,Primera,2025-08-24,16:00,Osasuna,Valencia,1,0,Local,1
2025-2026,Primera,2025-08-24,18:30,Sociedad,Espanol,2,2,Empate,X
2025-2026,Primera,2025-08-24,18:30,Villarreal,Girona,5,0,Local,1
2025-2026,Primera,2025-08-24,20:30,Oviedo,Real Madrid,0,3,Visitante,2
2025-2026,Primera,2025-08-25,18:30,Ath Bilbao,Vallecano,1,0,Local,1
2025-2026,Primera,2025-08-25,20:30,Sevilla,Getafe,1,2,Visitante,2
2025-2026,Primera,2025-08-27,20:00,Celta,Betis,1,1,Empate,X
2025-2026,Primera,2025-08-29,18:30,Elche,Levante,2,0,Local,1
2025-2026,Primera,2025-08-29,20:30,Valencia,Getafe,3,0,Local,1
2025-2026,Primera,2025-08-30,16:00,Alaves,Ath Madrid,1,1,Empate,X
2025-2026,Primera,2025-08-30,18:00,Oviedo,Sociedad,1,0,Local,1
2025-2026,Primera,2025-08-30,18:30,Girona,Sevilla,0,2,Visitante,2
2025-2026,Primera,2025-08-30,20:30,Real Madrid,Mallorca,2,1,Local,1
2025-2026,Primera,2025-08-31,16:00,Celta,Villarreal,1,1,Empate,X
2025-2026,Primera,2025-08-31,18:00,Betis,Ath Bilbao,1,2,Visitante,2
2025-2026,Primera,2025-08-31,18:30,Espanol,Osasuna,1,0,Local,1
2025-2026,Primera,2025-08-31,20:30,Vallecano,Barcelona,1,1,Empate,X
2025-2026,Primera,2025-09-12,20:00,Sevilla,Elche,2,2,Empate,X
2025-2026,Primera,2025-09-13,13:00,Getafe,Oviedo,2,0,Local,1
2025-2026,Primera,2025-09-13,15:15,Sociedad,Real Madrid,1,2,Visitante,2
2025-2026,Primera,2025-09-13,17:30,Ath Bilbao,Alaves,0,1,Visitante,2
2025-2026,Primera,2025-09-13,20:00,Ath Madrid,Villarreal,2,0,Local,1
2025-2026,Primera,2025-09-14,13:00,Celta,Girona,1,1,Empate,X
2025-2026,Primera,2025-09-14,15:15,Levante,Betis,2,2,Empate,X
2025-2026,Primera,2025-09-14,17:30,Osasuna,Vallecano,2,0,Local,1
2025-2026,Primera,2025-09-14,20:00,Barcelona,Valencia,6,0,Local,1
2025-2026,Primera,2025-09-15,20:00,Espanol,Mallorca,3,2,Local,1
2025-2026,Primera,2025-09-19,20:00,Betis,Sociedad,3,1,Local,1
2025-2026,Primera,2025-09-20,13:00,Girona,Levante,0,4,Visitante,2
2025-2026,Primera,2025-09-20,15:15,Real Madrid,Espanol,2,0,Local,1
2025-2026,Primera,2025-09-20,17:30,Alaves,Sevilla,1,2,Visitante,2
2025-2026,Primera,2025-09-20,17:30,Villarreal,Osasuna,2,1,Local,1
2025-2026,Primera,2025-09-20,20:00,Valencia,Ath Bilbao,2,0,Local,1
2025-2026,Primera,2025-09-21,13:00,Vallecano,Celta,1,1,Empate,X
2025-2026,Primera,2025-09-21,15:15,Mallorca,Ath Madrid,1,1,Empate,X
2025-2026,Primera,2025-09-21,17:30,Elche,Oviedo,1,0,Local,1
2025-2026,Primera,2025-09-21,20:00,Barcelona,Getafe,3,0,Local,1
2025-2026,Primera,2025-09-23,18:00,Ath Bilbao,Girona,1,1,Empate,X
2025-2026,Primera,2025-09-23,18:00,Espanol,Valencia,2,2,Empate,X
2025-2026,Primera,2025-09-23,20:30,Levante,Real Madrid,1,4,Visitante,2
2025-2026,Primera,2025-09-23,20:30,Sevilla,Villarreal,1,2,Visitante,2
2025-2026,Primera,2025-09-24,18:00,Getafe,Alaves,1,1,Empate,X
2025-2026,Primera,2025-09-24,20:30,Ath Madrid,Vallecano,3,2,Local,1
2025-2026,Primera,2025-09-24,20:30,Sociedad,Mallorca,1,0,Local,1
2025-2026,Primera,2025-09-25,18:30,Osasuna,Elche,1,1,Empate,X
2025-2026,Primera,2025-09-25,20:30,Oviedo,Barcelona,1,3,Visitante,2
2025-2026,Primera,2025-09-26,20:00,Girona,Espanol,0,0,Empate,X
2025-2026,Primera,2025-09-27,13:00,Getafe,Levante,1,1,Empate,X
2025-2026,Primera,2025-09-27,15:15,Ath Madrid,Real Madrid,5,2,Local,1
2025-2026,Primera,2025-09-27,17:30,Mallorca,Alaves,1,0,Local,1
2025-2026,Primera,2025-09-27,20:00,Villarreal,Ath Bilbao,1,0,Local,1
2025-2026,Primera,2025-09-28,13:00,Vallecano,Sevilla,0,1,Visitante,2
2025-2026,Primera,2025-09-28,15:15,Elche,Celta,2,1,Local,1
2025-2026,Primera,2025-09-28,17:30,Barcelona,Sociedad,2,1,Local,1
2025-2026,Primera,2025-09-28,20:00,Betis,Osasuna,2,0,Local,1
2025-2026,Primera,2025-09-30,19:00,Valencia,Oviedo,1,2,Visitante,2
2025-2026,Primera,2025-10-03,20:00,Osasuna,Getafe,2,1,Local,1
2025-2026,Primera,2025-10-04,13:00,Oviedo,Levante,0,2,Visitante,2
2025-2026,Primera,2025-10-04,15:15,Girona,Valencia,2,1,Local,1
2025-2026,Primera,2025-10-04,17:30,Ath Bilbao,Mallorca,2,1,Local,1
2025-2026,Primera,2025-10-04,20:00,Real Madrid,Villarreal,3,1,Local,1
2025-2026,Primera,2025-10-05,13:00,Alaves,Elche,3,1,Local,1
2025-2026,Primera,2025-10-05,15:15,Sevilla,Barcelona,4,1,Local,1
2025-2026,Primera,2025-10-05,17:30,Espanol,Betis,1,2,Visitante,2
2025-2026,Primera,2025-10-05,17:30,Sociedad,Vallecano,0,1,Visitante,2
2025-2026,Primera,2025-10-05,20:00,Celta,Ath Madrid,1,1,Empate,X
2025-2026,Primera,2025-10-17,20:00,Oviedo,Espanol,0,2,Visitante,2
2025-2026,Primera,2025-10-18,13:00,Sevilla,Mallorca,1,3,Visitante,2
2025-2026,Primera,2025-10-18,15:15,Barcelona,Girona,2,1,Local,1
2025-2026,Primera,2025-10-18,17:30,Villarreal,Betis,2,2,Empate,X
2025-2026,Primera,2025-10-18,20:00,Ath Madrid,Osasuna,1,0,Local,1
2025-2026,Primera,2025-10-19,13:00,Elche,Ath Bilbao,0,0,Empate,X
2025-2026,Primera,2025-10-19,15:15,Celta,Sociedad,1,1,Empate,X
2025-2026,Primera,2025-10-19,17:30,Levante,Vallecano,0,3,Visitante,2
2025-2026,Primera,2025-10-19,20:00,Getafe,Real Madrid,0,1,Visitante,2
2025-2026,Primera,2025-10-20,20:00,Alaves,Valencia,0,0,Empate,X
2025-2026,Primera,2025-10-24,20:00,Sociedad,Sevilla,2,1,Local,1
2025-2026,Primera,2025-10-25,13:00,Girona,Oviedo,3,3,Empate,X
2025-2026,Primera,2025-10-25,15:15,Espanol,Elche,1,0,Local,1
2025-2026,Primera,2025-10-25,17:30,Ath Bilbao,Getafe,0,1,Visitante,2
2025-2026,Primera,2025-10-25,20:00,Valencia,Villarreal,0,2,Visitante,2
2025-2026,Primera,2025-10-26,13:00,Mallorca,Levante,1,1,Empate,X
2025-2026,Primera,2025-10-26,15:15,Real Madrid,Barcelona,2,1,Local,1
2025-2026,Primera,2025-10-26,17:30,Osasuna,Celta,2,3,Visitante,2
2025-2026,Primera,2025-10-26,20:00,Vallecano,Alaves,1,0,Local,1
2025-2026,Primera,2025-10-27,20:00,Betis,Ath Madrid,0,2,Visitante,2
2025-2026,Primera,2025-10-31,20:00,Getafe,Girona,2,1,Local,1
2025-2026,Primera,2025-11-01,13:00,Villarreal,Vallecano,4,0,Local,1
2025-2026,Primera,2025-11-01,15:15,Ath Madrid,Sevilla,3,0,Local,1
2025-2026,Primera,2025-11-01,17:30,Sociedad,Ath Bilbao,3,2,Local,1
2025-2026,Primera,2025-11-01,20:00,Real Madrid,Valencia,4,0,Local,1
2025-2026,Primera,2025-11-02,13:00,Levante,Celta,1,2,Visitante,2
2025-2026,Primera,2025-11-02,15:15,Alaves,Espanol,2,1,Local,1
2025-2026,Primera,2025-11-02,17:30,Barcelona,Elche,3,1,Local,1
2025-2026,Primera,2025-11-02,20:00,Betis,Mallorca,3,0,Local,1
2025-2026,Primera,2025-11-03,20:00,Oviedo,Osasuna,0,0,Empate,X
2025-2026,Primera,2025-11-07,20:00,Elche,Sociedad,1,1,Empate,X
2025-2026,Primera,2025-11-08,13:00,Girona,Alaves,1,0,Local,1
2025-2026,Primera,2025-11-08,15:15,Sevilla,Osasuna,1,0,Local,1
2025-2026,Primera,2025-11-08,17:30,Ath Madrid,Levante,3,1,Local,1
2025-2026,Primera,2025-11-08,20:00,Espanol,Villarreal,0,2,Visitante,2
2025-2026,Primera,2025-11-09,13:00,Ath Bilbao,Oviedo,1,0,Local,1
2025-2026,Primera,2025-11-09,15:15,Vallecano,Real Madrid,0,0,Empate,X
2025-2026,Primera,2025-11-09,17:30,Mallorca,Getafe,1,0,Local,1
2025-2026,Primera,2025-11-09,17:30,Valencia,Betis,1,1,Empate,X
2025-2026,Primera,2025-11-09,20:00,Celta,Barcelona,2,4,Visitante,2
2025-2026,Primera,2025-11-21,20:00,Valencia,Levante,1,0,Local,1
2025-2026,Primera,2025-11-22,13:00,Alaves,Celta,0,1,Visitante,2
2025-2026,Primera,2025-11-22,15:15,Barcelona,Ath Bilbao,4,0,Local,1
2025-2026,Primera,2025-11-22,17:30,Osasuna,Sociedad,1,3,Visitante,2
2025-2026,Primera,2025-11-22,20:00,Villarreal,Mallorca,2,1,Local,1
2025-2026,Primera,2025-11-23,13:00,Oviedo,Vallecano,0,0,Empate,X
2025-2026,Primera,2025-11-23,15:15,Betis,Girona,1,1,Empate,X
2025-2026,Primera,2025-11-23,17:30,Getafe,Ath Madrid,0,1,Visitante,2
2025-2026,Primera,2025-11-23,20:00,Elche,Real Madrid,2,2,Empate,X
2025-2026,Primera,2025-11-24,20:00,Espanol,Sevilla,2,1,Local,1
2025-2026,Primera,2025-11-28,20:00,Getafe,Elche,1,0,Local,1
2025-2026,Primera,2025-11-29,13:00,Mallorca,Osasuna,2,2,Empate,X
2025-2026,Primera,2025-11-29,15:15,Barcelona,Alaves,3,1,Local,1
2025-2026,Primera,2025-11-29,17:30,Levante,Ath Bilbao,0,2,Visitante,2
2025-2026,Primera,2025-11-29,20:00,Ath Madrid,Oviedo,2,0,Local,1
2025-2026,Primera,2025-11-30,13:00,Sociedad,Villarreal,2,3,Visitante,2
2025-2026,Primera,2025-11-30,15:15,Sevilla,Betis,0,2,Visitante,2
2025-2026,Primera,2025-11-30,17:30,Celta,Espanol,0,1,Visitante,2
2025-2026,Primera,2025-11-30,20:00,Girona,Real Madrid,1,1,Empate,X
2025-2026,Primera,2025-12-01,20:00,Vallecano,Valencia,1,1,Empate,X
